step,alpha_1e-05,alpha_0.0001,alpha_0.001
1,37036961713.05038,27885469817.45998,34879438563.28962
2,35952852554.747,21135149897.679466,49418960901.11675
3,34910196505.183525,16580251733.431614,74223081073.01808
4,33907243279.09401,13408384411.932722,112398985275.01688
5,32942318878.96221,11122286668.286654,170605304591.83502
6,32013822238.326054,9415672839.313387,259236278548.32855
7,31120222013.186016,8098234515.713475,394145238336.4721
8,30260053514.977585,7050305775.731994,599461001962.4384
9,29431915778.85686,6195433003.15656,911899735416.1316
10,28634468761.324314,5483754980.013001,1387329495052.1174
11,27866430661.475662,4881912784.164483,2110759281681.9932
12,27126575360.421158,4366906441.69079,3211538342600.8027
13,26413729973.65548,3922339279.2987647,4886483243696.362
14,25726772511.391125,3536108702.4890537,7435067705386.104
15,25064629642.08823,3198974868.7383943,11312966955545.744
16,24426274554.624413,2903663653.050918,17213530039467.12
17,23810724914.74949,2644296059.7988176,26191746891966.582
18,23217040911.662148,2416018194.2297606,39852874806774.4
19,22644323390.729675,2214755407.8698077,60639449683662.055
20,22091712068.54741,2037044146.4344957,92267998092280.28
21,21558383826.70277,1879913122.0174828,140393531876676.03
22,21043551080.768944,1740796387.9838765,213620633293647.53
23,20546460221.207115,1617467541.6646414,325041907165122.6
24,20066390123.002697,1507988322.2010772,494578866855321.44
25,19602650721.000984,1410667338.0821452,752543791651734.6
26,19154581648.04204,1324026172.4569914,1145059396121672.0
27,18721550933.122597,1246771049.4605093,1742305318611510.8
28,18302953756.934826,1177768828.3112614,2651065855819946.0
29,17898211262.249577,1116026460.9446769,4033822409592187.0
30,17506769416.722775,1060673286.4377059,6137804270744674.0
31,17128097925.811203,1010945691.7964568,9339191860792684.0
32,16761689193.5856,966173774.4063178,1.4210375728850368e+16
33,16407057329.327154,925769715.2383087,2.1622296843590524e+16
34,16063737197.886374,889217625.1942264,3.2900166063369264e+16
35,15731283511.872927,856064666.8046982,5.006040457201644e+16
36,15409269963.830114,825913284.2551744,7.61711689311461e+16
37,15097288396.62932,798414399.169712,1.1590092065170286e+17
38,14794948010.397615,773261449.5023669,1.763531215165136e+17
39,14501874604.366203,750185165.4303329,2.6833629360116278e+17
40,14217709852.098661,728948990.0903369,4.082965237616115e+17
41,13942110608.625858,709345064.8895892,6.212579337956742e+17
42,13674748248.079624,691190709.3409969,9.452968562216122e+17
43,13415308030.479332,674325334.2057415,1.4383496737726574e+18
44,13163488496.384943,658607734.3941767,2.1885715269839875e+18
45,12919000888.187037,643913714.7515165,3.330097969995383e+18
46,12681568596.858446,630134007.6784377,5.067027672211235e+18
47,12450926633.044155,617172446.6244307,7.709914141385592e+18
48,12226821121.415646,604944363.941084,1.1731290988148005e+19
49,12009008817.263332,593375185.4762973,1.7850158344841011e+19
50,11797256644.346058,582399197.6997951,2.716053614714673e+19
51,11591341253.059855,571958466.1365864,4.132706890044295e+19
52,11391048598.029737,562001886.5013831,6.288265499067797e+19
53,11196173534.267656,552484352.2197144,9.5681315028747e+19
54,11006519431.077845,543366024.0308722,1.4558726960541966e+20
55,10821897802.926605,534611689.129103,2.2152342978141743e+20
56,10642127956.528538,526190198.84339905,3.3706676466374685e+20
57,10467036653.43386,518073975.2097599,5.1287578904406956e+20
58,10296457787.43337,510238577.97643334,7.803841925797537e+20
59,10130232076.127527,502662324.6230564,1.1874210111642492e+21
60,9968206766.035168,495325956.8868381,1.8067621963142948e+21
61,9810235350.644844,488212348.08881253,2.7491425562950133e+21
62,9656177300.838127,481306246.25457907,4.1830545327159504e+21
63,9505897807.139439,474594048.63900423,6.364873725303399e+21
64,9359267533.271128,468063603.8037284,9.68469744351015e+21
