set,feature,train_mean,train_std
A,irradiation,0.238628286459332,0.302274605436837
A,module_temp,31.733325230700167,12.628106844025702
A,ambient_temp,25.835779760728926,3.4973033670737803
A,sin_hour,-0.0083818517239676,0.7096412003716979
A,cos_hour,-0.016592992685702877,0.7043179565298797
B,sw_radiation,254.1703821656051,318.43818398689734
B,temp_2m,33.07611464968153,4.104755227452827
B,cloud_cover,68.6640127388535,34.12636004820856
B,sin_hour,-0.0083818517239676,0.7096412003716979
B,cos_hour,-0.016592992685702877,0.7043179565298797
