iteration,cost
1,27885469817.45998
2,21135149897.679466
3,16580251733.431614
4,13408384411.932722
5,11122286668.286654
6,9415672839.313387
7,8098234515.713475
8,7050305775.731994
9,6195433003.15656
10,5483754980.013001
11,4881912784.164483
12,4366906441.69079
13,3922339279.2987647
14,3536108702.4890537
15,3198974868.7383943
16,2903663653.050918
17,2644296059.7988176
18,2416018194.2297606
19,2214755407.8698077
20,2037044146.4344957
21,1879913122.0174828
22,1740796387.9838765
23,1617467541.6646414
24,1507988322.2010772
25,1410667338.0821452
26,1324026172.4569914
27,1246771049.4605093
28,1177768828.3112614
29,1116026460.9446769
30,1060673286.4377059
31,1010945691.7964568
32,966173774.4063178
33,925769715.2383087
34,889217625.1942264
35,856064666.8046982
36,825913284.2551744
37,798414399.169712
38,773261449.5023669
39,750185165.4303329
40,728948990.0903369
41,709345064.8895892
42,691190709.3409969
43,674325334.2057415
44,658607734.3941767
45,643913714.7515165
46,630134007.6784377
47,617172446.6244307
48,604944363.941084
49,593375185.4762973
50,582399197.6997951
51,571958466.1365864
52,562001886.5013831
53,552484352.2197144
54,543366024.0308722
55,534611689.129103
56,526190198.84339905
57,518073975.2097599
58,510238577.97643334
59,502662324.6230564
60,495325956.8868381
61,488212348.08881253
62,481306246.25457907
63,474594048.63900423
64,468063603.8037284
65,461704037.8693279
66,455505601.9788123
67,449459538.37294674
68,443557962.7969807
69,437793761.2382196
70,432160499.23935443
71,426652342.24776554
72,421263985.6498861
73,415990593.3053661
74,410827743.541111
75,405771381.69274133
76,400817778.39286023
77,395963492.90362084
78,391205340.87715805
79,386540366.0029623
80,381965815.0675213
81,377479116.00968117
82,373077858.60618
83,368759777.4665496
84,364522737.0558437
85,360364718.4981039
86,356283807.94370174
87,352278186.3102164
88,348346120.22979593
89,344485954.05635744
90,340696102.8039274
91,336975045.9031317
92,333321321.6766671
93,329733522.4466864
94,326210290.1976741
95,322750312.7277075
96,319352320.22920054
97,316015082.24740183
98,312737404.9712429
99,309518128.81665224
100,306356126.267325
101,303250299.94219726
102,300199580.8626196
103,297202926.8955111
104,294259321.3516626
105,291367771.7208876
106,288527308.5279453
107,285736984.2951091
108,282995872.5989731
109,280303067.21058494
110,277657681.30932343
111,275058846.7620919
112,272505713.4604194
113,269997448.7089575
114,267533236.65964052
115,265112277.78647107
116,262733788.39649674
117,260397000.1730728
118,258101159.74797687
119,255845528.29934746
120,253629381.17278308
121,251452007.5232484
122,249312709.97571924
123,247210804.30273685
124,245145619.1172583
125,243116495.57937944
126,241122787.11566982
127,239163859.15000835
128,237239088.84493107
129,235347864.85262132
130,233489587.07476625
131,231663666.4305922
132,229869524.63247076
133,228106593.9685493
134,226374317.0919238
135,224672146.81592208
136,222999545.91510993
137,221355986.93167678
138,219740951.9868887
139,218153932.5973323
140,216594429.4956973
141,215061952.45587242
142,213556020.12214807
143,212076159.84234217
144,210621907.50467932
145,209192807.3782685
146,207788411.95703945
147,206408281.8070085
148,205051985.41675445
149,203719099.05099496
150,202409206.6071634
151,201121899.47488898
152,199856776.398296
153,198613443.34103745
154,197391513.3539887
155,196190606.4455258
156,195010349.45432484
157,193850375.92461365
158,192710325.9838191
159,191589846.22254783
160,190488589.57685006
161,189406215.21270952
162,188342388.41271272
163,187296780.4648461
164,186269068.55337718
165,185258935.6517745
166,184266070.41762224
167,183290167.08948848
168,182330925.38570806
169,181388050.40503922
170,180461252.5291573
171,179550247.32694894
172,178654755.46057063
173,177774502.59323686
174,176909219.2987051
175,176058640.9724234
176,175222507.7443093
177,174400564.39312878
178,173592560.26244426
179,172798249.1781021
180,172017389.36723065
181,171249743.37871957
182,170495078.00515324
183,169753164.2061706
184,169023777.03322512
185,168306695.55571765
186,167601702.7884786
187,166908585.62057117
188,166227134.74539462
189,165557144.59206092
190,164898413.25802213
191,164250742.4429249
192,163613937.3836709
193,162987806.7906577
194,162372162.78518257
195,161766820.83798376
196,161171599.70890072
197,160586321.3876323
198,160010811.03557193
199,159444896.9287002
200,158888410.40151677
201,158341185.79198965
202,157803060.3875067
203,157273874.37180755
204,156753470.7728807
205,156241695.41180658
206,155738396.8525292
207,155243426.35254028
208,154756637.81445774
209,154277887.73848468
210,153807035.17572907
211,153343941.6823717
212,152888471.2746649
213,152440490.3847482
214,151999867.81726408
215,151566474.70676127
216,151140184.47587004
217,150720872.79423544
218,150308417.5381947
219,149902698.7511854
220,149503598.60487095
221,149111001.3609699
222,148724793.33377713
223,148344862.85336295
224,147971100.22943896
225,147603397.7158779
226,147241649.47587556
227,146885751.54774332
228,146535601.8113191
229,146191099.95498687
230,145852147.44329137
231,145518647.4851396
232,145190505.0025768
233,144867626.60012707
234,144549920.53468782
235,144237296.68596873
236,143929666.52746445
237,143626943.0979522
238,143329040.97350353
239,143035876.24000248
240,142747366.46615916
241,142463430.67701072
242,142183989.32790127
243,141908964.27893063
244,141638278.76986462
245,141371857.39549765
246,141109626.08146068
247,140851512.06046426
248,140597443.84897065
249,140347351.22428688
250,140101165.20206976
251,139858818.01423767
252,139620243.08727908
253,139385375.02095306
