iteration,cost
1,31188912329.724796
2,25797691970.52906
3,21592831094.93453
4,18282385263.57633
5,15651257723.736498
6,13540229633.051254
7,11830816609.55342
8,10434318452.896475
9,9283888636.03078
10,8328780221.196185
11,7530161836.351171
12,6858067536.4404125
13,6289166622.387713
14,5805127327.541296
15,5391411413.715316
16,5036382112.942862
17,4730640505.838798
18,4466528931.229073
19,4237756950.1081944
20,4039117589.180245
21,3866270392.991172
22,3715574172.5642576
23,3583956937.531662
24,3468813830.2497573
25,3367926298.119717
26,3279397498.7435846
27,3201600214.6832385
28,3133134492.22775
29,3072792906.6357574
30,3019531863.2359266
31,2972447718.922499
32,2930756787.6501765
33,2893778502.321377
34,2860921162.668925
35,2831669817.942739
36,2805575924.2853794
37,2782248486.831097
38,2761346451.0551944
39,2742572150.60285
40,2725665652.5892215
41,2710399868.295851
42,2696576318.861864
43,2684021463.15729
44,2672583509.4144835
45,2662129644.053217
46,2652543620.9778137
47,2643723662.8456464
48,2635580632.711683
49,2628036440.2837176
50,2621022651.9671288
51,2614479278.087579
52,2608353714.2766256
53,2602599817.08721
54,2597177096.553946
55,2592050010.6932964
56,2587187348.9060335
57,2582561692.9445047
58,2578148945.578744
59,2573927918.3706064
60,2569879971.071282
61,2565988696.118122
62,2562239642.541513
63,2558620074.318499
64,2555118758.841739
65,2551725781.722451
66,2548432384.625359
67,2545230823.251356
68,2542114242.9478803
69,2539076569.7447042
70,2536112414.8901076
71,2533216991.204368
72,2530386039.778819
73,2527615765.733233
74,2524902781.9054537
75,2522244059.4881105
76,2519636884.7502656
77,2517078821.0894837
78,2514567675.7538953
79,2512101470.6560574
80,2509678416.7723927
81,2507296891.684933
82,2504955419.877134
83,2502652655.443749
84,2500387366.9169087
85,2498158423.947461
86,2495964785.612957
87,2493805490.151953
88,2491679645.9490747
89,2489586423.616997
90,2487525049.0404787
91,2485494797.264253
92,2483494987.1211524
93,2481524976.5096207
94,2479584158.240971
95,2477671956.38653
96,2475787823.063451
97,2473931235.605472
98,2472101694.071524
99,2470298719.050881
100,2468521849.728598
