epoch,cost
1,514247367.75158376
2,224627285.38385546
3,158158682.41972986
4,140424868.74774343
5,134051838.68304567
6,130605281.76759788
7,128045861.90697621
8,125841275.57867008
9,123837279.29102917
10,121981086.37011386
11,120249605.13444562
12,118629584.08352312
13,117111632.58146565
14,115688198.68663032
15,114352780.57790363
16,113099571.15124239
17,111923276.78986174
18,110819015.37524849
19,109782253.82205774
20,108808766.57978769
21,107894605.75901219
22,107036077.96865223
23,106229725.21476929
24,105472308.40792538
25,104760792.66899508
26,104092333.97150028
27,103464266.84809667
28,102874092.99264942
29,102319470.64670342
30,101798204.69136378
31,101308237.38414836
32,100847639.69148992
33,100414603.17461473
34,100007432.39129788
35,99624537.77951023
36,99264428.9917282
37,98925708.6509846
38,98607066.50174725
39,98307273.93051073
40,98025178.83262967
41,97759700.80343755
42,97509826.63310051
43,97274606.08596693
44,97053147.94639611
45,96844616.31419599
46,96648227.13386744
47,96463244.94285753
48,96288979.82496141
49,96124784.55588935
50,95970051.92884338
51,95824212.24871163
52,95686730.9842164
53,95557106.56802315
54,95434868.33545533
55,95319574.59304768
56,95210810.80873
57,95108187.91595225
58,95011340.7245467
59,94919926.43158421
60,94833623.22590269
61,94752128.98039085
62,94675160.02648321
63,94602450.00567308
64,94533748.79318026
65,94468821.48921669
66,94407447.47358258
67,94349419.51959643
68,94294542.9636134
69,94242634.92662476
70,94193523.5846535
71,94147047.48486874
72,94103054.90453364
73,94061403.25009082
74,94021958.49384993
75,93984594.6459141
76,93949193.25911793
77,93915642.96490605
78,93883839.03819646
79,93853682.98940893
80,93825082.18194719
81,93797949.47353257
82,93772202.87989129
83,93747765.25938709
84,93724564.01728487
85,93702530.82840957
86,93681601.37704766
87,93661715.1130054
88,93642815.02281074
89,93624847.41511059
90,93607761.71936937
91,93591510.29703765
92,93576048.26440807
93,93561333.32642649
94,93547325.62077288
95,93533987.57156721
96,93521283.75210127
97,93509180.75602873
98,93497647.07648651
99,93486652.99265186
100,93476170.46326993
101,93466173.0267179
102,93456635.7071968
103,93447534.92667013
104,93438848.42218965
105,93430555.16827542
106,93422635.30403255
107,93415070.06471217
108,93407841.71744011
109,93400933.50085288
