epoch,cost
1,2759989866.2917166
2,2690547517.219145
3,2685583787.3936744
4,2692499912.873675
5,2698805737.3755417
6,2702872848.622631
7,2705224936.6057115
8,2706523425.115101
9,2707224566.0071974
10,2707598976.5901775
11,2707797772.4639482
12,2707903009.763595
13,2707958632.0081196
14,2707988006.0877542
15,2708003511.5757303
16,2708011694.357825
17,2708016012.1138134
18,2708018290.261788
19,2708019492.210747
20,2708020126.339951
21,2708020460.890093
22,2708020637.387678
23,2708020730.500999
24,2708020779.6235876
25,2708020805.5383754
26,2708020819.2097297
27,2708020826.4220176
28,2708020830.226826
29,2708020832.234026
30,2708020833.292908
31,2708020833.8515086
32,2708020834.146192
33,2708020834.3016496
34,2708020834.3836584
35,2708020834.42692
36,2708020834.4497433
37,2708020834.461783
38,2708020834.4681334
39,2708020834.4714837
40,2708020834.473249
41,2708020834.474183
42,2708020834.474674
43,2708020834.474933
44,2708020834.47507
45,2708020834.4751415
46,2708020834.4751806
47,2708020834.4752
48,2708020834.4752135
49,2708020834.4752197
50,2708020834.4752207
51,2708020834.475223
52,2708020834.4752245
53,2708020834.475225
54,2708020834.4752245
55,2708020834.4752254
56,2708020834.4752254
57,2708020834.4752254
58,2708020834.4752254
59,2708020834.4752245
60,2708020834.475225
61,2708020834.4752254
62,2708020834.475225
63,2708020834.4752254
64,2708020834.475225
65,2708020834.4752254
66,2708020834.475225
67,2708020834.4752254
68,2708020834.475225
69,2708020834.4752254
70,2708020834.475225
71,2708020834.4752254
72,2708020834.475225
73,2708020834.4752254
74,2708020834.475225
75,2708020834.4752254
76,2708020834.475225
77,2708020834.4752254
78,2708020834.475225
79,2708020834.4752254
80,2708020834.475225
81,2708020834.4752254
82,2708020834.475225
83,2708020834.4752254
84,2708020834.475225
85,2708020834.4752254
86,2708020834.475225
87,2708020834.4752254
88,2708020834.475225
89,2708020834.4752254
90,2708020834.475225
91,2708020834.4752254
92,2708020834.475225
93,2708020834.4752254
94,2708020834.475225
95,2708020834.4752254
96,2708020834.475225
97,2708020834.4752254
98,2708020834.475225
99,2708020834.4752254
100,2708020834.475225
101,2708020834.4752254
102,2708020834.475225
103,2708020834.4752254
104,2708020834.475225
105,2708020834.4752254
106,2708020834.475225
107,2708020834.4752254
108,2708020834.475225
109,2708020834.4752254
110,2708020834.475225
111,2708020834.4752254
112,2708020834.475225
113,2708020834.4752254
114,2708020834.475225
115,2708020834.4752254
116,2708020834.475225
117,2708020834.4752254
118,2708020834.475225
119,2708020834.4752254
120,2708020834.475225
121,2708020834.4752254
122,2708020834.475225
123,2708020834.4752254
124,2708020834.475225
125,2708020834.4752254
126,2708020834.475225
127,2708020834.4752254
128,2708020834.475225
129,2708020834.4752254
130,2708020834.475225
131,2708020834.4752254
132,2708020834.475225
133,2708020834.4752254
134,2708020834.475225
135,2708020834.4752254
136,2708020834.475225
137,2708020834.4752254
138,2708020834.475225
139,2708020834.4752254
140,2708020834.475225
141,2708020834.4752254
142,2708020834.475225
143,2708020834.4752254
144,2708020834.475225
145,2708020834.4752254
146,2708020834.475225
147,2708020834.4752254
148,2708020834.475225
149,2708020834.4752254
150,2708020834.475225
151,2708020834.4752254
152,2708020834.475225
153,2708020834.4752254
154,2708020834.475225
155,2708020834.4752254
156,2708020834.475225
157,2708020834.4752254
158,2708020834.475225
159,2708020834.4752254
160,2708020834.475225
161,2708020834.4752254
162,2708020834.475225
163,2708020834.4752254
164,2708020834.475225
165,2708020834.4752254
166,2708020834.475225
167,2708020834.4752254
168,2708020834.475225
169,2708020834.4752254
170,2708020834.475225
171,2708020834.4752254
172,2708020834.475225
173,2708020834.4752254
174,2708020834.475225
175,2708020834.4752254
176,2708020834.475225
177,2708020834.4752254
178,2708020834.475225
179,2708020834.4752254
180,2708020834.475225
181,2708020834.4752254
182,2708020834.475225
183,2708020834.4752254
184,2708020834.475225
