datetime,reason
2020-05-16 00:00:00,missing/non-finite target or feature; no interpolation
2020-05-16 01:00:00,missing/non-finite target or feature; no interpolation
2020-05-20 14:00:00,missing/non-finite target or feature; no interpolation
2020-05-20 15:00:00,missing/non-finite target or feature; no interpolation
2020-05-20 16:00:00,missing/non-finite target or feature; no interpolation
2020-05-20 23:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 00:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 01:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 02:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 03:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 04:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 05:00:00,missing/non-finite target or feature; no interpolation
2020-05-21 06:00:00,missing/non-finite target or feature; no interpolation
2020-05-28 23:00:00,missing/non-finite target or feature; no interpolation
2020-05-29 00:00:00,missing/non-finite target or feature; no interpolation
2020-05-29 01:00:00,missing/non-finite target or feature; no interpolation
2020-05-29 02:00:00,missing/non-finite target or feature; no interpolation
2020-05-29 03:00:00,missing/non-finite target or feature; no interpolation
2020-05-29 04:00:00,missing/non-finite target or feature; no interpolation
2020-05-29 05:00:00,missing/non-finite target or feature; no interpolation
