step,alpha_0.0001,alpha_0.001,alpha_0.01
1,28704085702.662315,5691789976.070886,514247367.75158376
2,22181464080.707283,2102569777.3616025,224627285.38385546
3,17593880439.673985,1099750342.1745386,158158682.41972986
4,14293263495.550114,757678224.5621016,140424868.74774343
5,11859145155.177195,607112846.5895491,134051838.68304567
6,10017365510.45158,517725767.48995847,130605281.76759788
7,8587983528.77698,452443295.8633673,128045861.90697621
8,7451880232.966701,400077619.4977689,125841275.57867008
9,6529328251.971433,356660249.59433675,123837279.29102917
10,5766224171.171019,320296536.4450043,121981086.37011386
11,5125229830.459987,289757244.3969579,120249605.13444562
12,4580060125.935339,264091858.09483942,118629584.08352312
13,4111789142.9990892,242516263.40505868,117111632.58146565
14,3706452266.288194,224372413.11687595,115688198.68663032
15,3353481586.070956,209106774.90063933,114352780.57790363
16,3044678102.666973,196254292.89632854,113099571.15124239
17,2773530599.4374957,185424826.01079324,111923276.78986174
18,2534759155.1794086,176291422.88377655,110819015.37524849
19,2324004880.277108,168580247.4757853,109782253.82205774
20,2137615404.4212127,162062005.33516973,108808766.57978769
21,1972493557.6582537,156544700.8258524,107894605.75901219
22,1825988179.8288422,151867548.36556968,107036077.96865223
23,1695813375.2073138,147895868.91196224,106229725.21476929
24,1579987277.037598,144516819.5211381,105472308.40792538
25,1476784446.396033,141635823.2218368,104760792.66899508
26,1384698006.79956,139173585.60377112,104092333.97150028
27,1302408897.8554392,137063601.99973723,103464266.84809667
28,1228760466.3084533,135250074.46379873,102874092.99264942
29,1162737160.1923985,133686170.88434798,102319470.64670342
30,1103446453.459898,132332569.69256806,101798204.69136378
31,1050103369.9213976,131156242.97523765,101308237.38414836
32,1002017138.6362927,130129438.62627898,100847639.69148992
33,958579625.1335111,129228828.70679444,100414603.17461473
34,919255261.4477726,128434796.63419609,100007432.39129788
35,883572254.2226595,127730840.36443014,99624537.77951023
36,851114891.375818,127103072.51719815,99264428.9917282
37,821516798.8173046,126539801.54859826,98925708.6509846
38,794455022.592784,126031180.70425093,98607066.50174725
39,769644830.6616036,125568913.67673531,98307273.93051073
40,746835143.7015635,125146007.71740058,98025178.83262967
41,725804516.7970735,124756566.47531687,97759700.80343755
42,706357604.2620504,124395616.10612741,97509826.63310051
43,688322048.6278647,124058959.2530467,97274606.08596693
44,671545742.3155456,123743052.38641287,97053147.94639611
45,655894416.949949,123444902.7262517,96844616.31419599
46,641249520.8423002,123161981.58859426,96648227.13386744
47,627506350.0055352,122892151.51106195,96463244.94285753
48,614572402.2845155,122633604.9433441,96288979.82496141
49,602365927.8692925,122384812.64769307,96124784.55588935
50,590814652.6872396,122144480.25513104,95970051.92884338
